Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
01_002_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Night,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$73.46,$73.46,$73.46,$73.46,$73.46,$73.46,$73.46,$73.46,$102.84,$110.19,Y,Y,Y,N,N,Price Limited Supports
01_002_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Night - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$74.56,$74.56,$74.56,$74.56,$74.56,$74.56,$74.56,$74.56,$104.38,$111.84,Y,Y,Y,N,N,Price Limited Supports
01_003_0107_1_1,Assistance From Live-In Carer,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,Yes,20230701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_004_0107_1_1,Assistance with Personal Domestic Activities,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$77.04,$82.55,Y,Y,Y,N,N,Price Limited Supports
01_010_0107_1_1,Assistance With Self-Care Activities - Night-Time Sleepover,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,No,20230701,99991231,$276.27,$276.27,$276.27,$276.27,$276.27,$276.27,$276.27,$276.27,$386.78,$414.41,Y,Y,Y,N,N,Price Limited Supports
01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$91.66,$98.21,Y,Y,Y,N,N,Price Limited Supports
01_011_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Daytime - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$66.45,$93.03,$99.68,Y,Y,Y,N,N,Price Limited Supports
01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$203.62,$218.16,Y,Y,Y,N,N,Price Limited Supports
01_012_0107_1_1_T,Assistance With Self-Care Activities - Standard - Public Holiday - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$147.62,$206.67,$221.43,Y,Y,Y,N,N,Price Limited Supports
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$128.97,$138.18,Y,Y,Y,N,N,Price Limited Supports
01_013_0107_1_1_T,Assistance With Self-Care Activities - Standard - Saturday - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$93.50,$130.90,$140.25,Y,Y,Y,N,N,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$166.29,$178.17,Y,Y,Y,N,N,Price Limited Supports
01_014_0107_1_1_T,Assistance With Self-Care Activities - Standard - Sunday - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$120.56,$168.78,$180.84,Y,Y,Y,N,N,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$100.98,$108.20,Y,Y,Y,N,N,Price Limited Supports
01_015_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Evening - TTP,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$73.21,$102.49,$109.82,Y,Y,Y,N,N,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$55.03,$77.04,$82.55,Y,Y,Y,N,N,Price Limited Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,Yes,20230701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_019_0120_1_1,House or Yard Maintenance,0120,Household Tasks,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$53.09,$53.09,$53.09,$53.09,$53.09,$53.09,$53.09,$53.09,$74.33,$79.64,Y,Y,Y,N,N,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,0120,Household Tasks,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$54.07,$54.07,$54.07,$54.07,$54.07,$54.07,$54.07,$54.07,$75.70,$81.11,Y,Y,Y,N,N,Price Limited Supports
01_021_0120_1_1,Linen Service,0120,Household Tasks,1,Assistance with Daily Life (Includes SIL),E,Yes,20230701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,0120,Household Tasks,1,Assistance with Daily Life (Includes SIL),E,No,20230701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,NA,NA,NA,NA,NA,Unit Price = $1
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,Yes,20230701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),E,Yes,20230701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,$663.07,$663.07,$663.07,$663.07,$663.07,$663.07,$663.07,$663.07,$928.30,$994.61,N,N,Y,N,N,Price Limited Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),E,Yes,20230701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,0107,Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),E,No,20230701,99991231,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$654.70,$916.58,$982.05,N,N,N,N,N,Price Limited Supports
01_049_0115_1_1,Cross Billing Payments For Residential Aged Care Subsidies And Supplements,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),WK,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,
01_050_0115_1_1,Assistance With Daily Life Tasks Provided In Residential Aged Care Facility,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),E,No,20230701,99991231,,,,,,,,,,,N,N,N,N,N,
01_051_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Saturday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,$804.39,$804.39,$804.39,$804.39,$804.39,$804.39,$804.39,$804.39,"$1,126.15","$1,206.59",N,N,Y,N,N,Price Limited Supports
